Time	Setpoint (%)	 Error	Salida (%)	Ley de Control
0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00
2.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00
5.00	0.00	0.00	0.00	0.00
6.00	0.00	0.00	0.00	0.00
7.00	0.00	0.00	0.00	0.00
8.00	0.00	0.00	0.00	0.00
9.00	0.00	0.00	0.00	0.00
10.00	0.00	0.00	0.00	0.00
11.00	0.00	0.00	0.00	0.00
12.00	0.00	0.00	0.00	0.00
13.00	0.00	0.00	0.00	0.00
14.00	0.00	0.00	0.00	0.00
15.00	0.00	0.00	0.00	0.00
16.00	0.00	0.00	0.00	0.00
17.00	0.00	0.00	0.00	0.00
18.00	0.00	0.00	0.00	0.00
19.00	0.00	0.00	0.00	0.00
20.00	0.00	0.00	0.00	0.00
21.00	0.00	0.00	0.00	0.00
22.00	0.00	0.00	0.00	0.00
23.00	0.00	0.00	0.00	0.00
24.00	0.00	0.00	0.00	0.00
25.00	0.00	0.00	0.00	0.00
26.00	0.00	0.00	0.00	0.00
27.00	0.00	0.00	0.00	0.00
28.00	0.00	0.00	0.00	0.00
29.00	0.00	0.00	0.00	0.00
30.00	0.00	0.00	0.00	0.00
31.00	0.00	0.00	0.00	0.00
32.00	0.00	0.00	0.00	0.00
33.00	0.00	0.00	0.00	0.00
34.00	0.00	0.00	0.00	0.00
35.00	0.00	0.00	0.00	0.00
36.00	0.00	0.00	0.00	0.00
37.00	0.00	0.00	0.00	0.00
38.00	0.00	0.00	0.00	0.00
39.00	0.00	0.00	0.00	0.00
40.00	0.00	0.00	0.00	0.00
41.00	0.00	0.00	0.00	0.00
42.00	0.00	0.00	0.00	0.00
43.00	0.00	0.00	0.00	0.00
44.00	0.00	0.00	0.00	0.00
45.00	0.00	0.00	0.00	0.00
46.00	0.00	0.00	0.00	0.00
47.00	0.00	0.00	0.00	0.00
48.00	0.00	0.00	0.00	0.00
49.00	0.00	0.00	0.00	0.00
50.00	0.00	0.00	0.00	0.00
51.00	0.00	0.00	0.00	0.00
52.00	0.00	0.00	0.00	0.00
53.00	0.00	0.00	0.00	0.00
54.00	0.00	0.00	0.00	0.00
55.00	0.00	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.00
